Ticker,Ticker2,Correlation,,,,,,,,,,
SHRIRAMFIN,AXISBANK,74.08%,,,,,,,,,,
SUNPHARMA,AXISBANK,62.09%,,,,,,,,,,
TATACONSUM,AXISBANK,53.11%,,,,,,,,,,
TATAMOTORS,AXISBANK,59.68%,,,,,,,,,,
TATASTEEL,AXISBANK,70.97%,,,,,,,,,,
TCS,AXISBANK,59.65%,,,,,,,,,,
TECHM,AXISBANK,68.15%,,,,,,,,,,
TITAN,AXISBANK,0.26%,,,,,,,,,,
TRENT,AXISBANK,73.55%,,,,,,,,,,
ULTRACEMCO,AXISBANK,86.77%,,,,,,,,,,
WIPRO,AXISBANK,67.45%,,,,,,,,,,
ADANIENT,BAJAJ-AUTO,63.46%,,,,,,,,,,
ADANIPORTS,BAJAJ-AUTO,88.77%,,,,,,,,,,
APOLLOHOSP,BAJAJ-AUTO,89.38%,,,,,,,,,,
ASIANPAINT,BAJAJ-AUTO,-16.26%,,,,,,,,,,
AXISBANK,BAJAJ-AUTO,74.28%,,,,,,,,,,
BAJAJ-AUTO,BAJAJ-AUTO,100.00%,,,,,,,,,,
BAJAJFINSV,BAJAJ-AUTO,51.64%,,,,,,,,,,
BAJFINANCE,BAJAJ-AUTO,-32.29%,,,,,,,,,,
BEL,BAJAJ-AUTO,87.27%,,,,,,,,,,
BHARTIARTL,BAJAJ-AUTO,95.10%,,,,,,,,,,
BPCL,BAJAJ-AUTO,92.43%,,,,,,,,,,
BRITANNIA,BAJAJ-AUTO,82.88%,,,,,,,,,,
CIPLA,BAJAJ-AUTO,95.17%,,,,,,,,,,
COALINDIA,BAJAJ-AUTO,89.61%,,,,,,,,,,
DRREDDY,BAJAJ-AUTO,83.45%,,,,,,,,,,
EICHERMOT,BAJAJ-AUTO,84.77%,,,,,,,,,,
GRASIM,BAJAJ-AUTO,90.23%,,,,,,,,,,
HCLTECH,BAJAJ-AUTO,75.20%,,,,,,,,,,
HDFCBANK,BAJAJ-AUTO,45.39%,,,,,,,,,,
HDFCLIFE,BAJAJ-AUTO,38.39%,,,,,,,,,,
HEROMOTOCO,BAJAJ-AUTO,93.13%,,,,,,,,,,
HINDALCO,BAJAJ-AUTO,86.88%,,,,,,,,,,
HINDUNILVR,BAJAJ-AUTO,42.40%,,,,,,,,,,
ICICIBANK,BAJAJ-AUTO,92.03%,,,,,,,,,,
INDUSINDBK,BAJAJ-AUTO,-34.81%,,,,,,,,,,
INFY,BAJAJ-AUTO,72.63%,,,,,,,,,,
ITC,BAJAJ-AUTO,52.08%,,,,,,,,,,
JSWSTEEL,BAJAJ-AUTO,88.37%,,,,,,,,,,
KOTAKBANK,BAJAJ-AUTO,17.06%,,,,,,,,,,
LT,BAJAJ-AUTO,74.62%,,,,,,,,,,
M&M,BAJAJ-AUTO,89.32%,,,,,,,,,,
MARUTI,BAJAJ-AUTO,79.36%,,,,,,,,,,
NESTLEIND,BAJAJ-AUTO,29.61%,,,,,,,,,,
NTPC,BAJAJ-AUTO,95.63%,,,,,,,,,,
ONGC,BAJAJ-AUTO,85.04%,,,,,,,,,,
POWERGRID,BAJAJ-AUTO,93.19%,,,,,,,,,,
RELIANCE,BAJAJ-AUTO,72.84%,,,,,,,,,,
SBILIFE,BAJAJ-AUTO,82.18%,,,,,,,,,,
SBIN,BAJAJ-AUTO,85.18%,,,,,,,,,,
SHRIRAMFIN,BAJAJ-AUTO,93.74%,,,,,,,,,,
SUNPHARMA,BAJAJ-AUTO,94.56%,,,,,,,,,,
TATACONSUM,BAJAJ-AUTO,71.14%,,,,,,,,,,
TATAMOTORS,BAJAJ-AUTO,78.63%,,,,,,,,,,
TATASTEEL,BAJAJ-AUTO,74.55%,,,,,,,,,,
TCS,BAJAJ-AUTO,82.26%,,,,,,,,,,
TECHM,BAJAJ-AUTO,80.18%,,,,,,,,,,
TITAN,BAJAJ-AUTO,19.97%,,,,,,,,,,
TRENT,BAJAJ-AUTO,93.64%,,,,,,,,,,
ULTRACEMCO,BAJAJ-AUTO,86.09%,,,,,,,,,,
WIPRO,BAJAJ-AUTO,81.64%,,,,,,,,,,
ADANIENT,BAJAJFINSV,8.01%,,,,,,,,,,
ADANIPORTS,BAJAJFINSV,21.51%,,,,,,,,,,
APOLLOHOSP,BAJAJFINSV,50.91%,,,,,,,,,,
ASIANPAINT,BAJAJFINSV,46.34%,,,,,,,,,,
AXISBANK,BAJAJFINSV,33.46%,,,,,,,,,,
BAJAJ-AUTO,BAJAJFINSV,51.64%,,,,,,,,,,
BAJAJFINSV,BAJAJFINSV,100.00%,,,,,,,,,,
BAJFINANCE,BAJAJFINSV,38.55%,,,,,,,,,,
BEL,BAJAJFINSV,24.83%,,,,,,,,,,
BHARTIARTL,BAJAJFINSV,51.80%,,,,,,,,,,
BPCL,BAJAJFINSV,32.38%,,,,,,,,,,
BRITANNIA,BAJAJFINSV,60.94%,,,,,,,,,,
CIPLA,BAJAJFINSV,40.67%,,,,,,,,,,
COALINDIA,BAJAJFINSV,22.95%,,,,,,,,,,
DRREDDY,BAJAJFINSV,37.70%,,,,,,,,,,
EICHERMOT,BAJAJFINSV,35.42%,,,,,,,,,,
GRASIM,BAJAJFINSV,43.35%,,,,,,,,,,
HCLTECH,BAJAJFINSV,56.76%,,,,,,,,,,
HDFCBANK,BAJAJFINSV,57.97%,,,,,,,,,,
HDFCLIFE,BAJAJFINSV,69.84%,,,,,,,,,,
HEROMOTOCO,BAJAJFINSV,34.45%,,,,,,,,,,
HINDALCO,BAJAJFINSV,44.71%,,,,,,,,,,
HINDUNILVR,BAJAJFINSV,64.37%,,,,,,,,,,
ICICIBANK,BAJAJFINSV,48.92%,,,,,,,,,,
INDUSINDBK,BAJAJFINSV,-15.49%,,,,,,,,,,
INFY,BAJAJFINSV,59.47%,,,,,,,,,,
ITC,BAJAJFINSV,70.51%,,,,,,,,,,
JSWSTEEL,BAJAJFINSV,58.55%,,,,,,,,,,
KOTAKBANK,BAJAJFINSV,53.38%,,,,,,,,,,
LT,BAJAJFINSV,27.80%,,,,,,,,,,
M&M,BAJAJFINSV,40.01%,,,,,,,,,,
MARUTI,BAJAJFINSV,20.16%,,,,,,,,,,
NESTLEIND,BAJAJFINSV,19.85%,,,,,,,,,,
NTPC,BAJAJFINSV,45.97%,,,,,,,,,,
ONGC,BAJAJFINSV,18.26%,,,,,,,,,,
POWERGRID,BAJAJFINSV,29.71%,,,,,,,,,,
RELIANCE,BAJAJFINSV,4.24%,,,,,,,,,,
SBILIFE,BAJAJFINSV,68.90%,,,,,,,,,,
SBIN,BAJAJFINSV,12.66%,,,,,,,,,,
SHRIRAMFIN,BAJAJFINSV,61.83%,,,,,,,,,,
SUNPHARMA,BAJAJFINSV,51.85%,,,,,,,,,,
TATACONSUM,BAJAJFINSV,19.31%,,,,,,,,,,
TATAMOTORS,BAJAJFINSV,8.81%,,,,,,,,,,
TATASTEEL,BAJAJFINSV,6.64%,,,,,,,,,,
TCS,BAJAJFINSV,41.66%,,,,,,,,,,
TECHM,BAJAJFINSV,56.48%,,,,,,,,,,
TITAN,BAJAJFINSV,35.72%,,,,,,,,,,
TRENT,BAJAJFINSV,57.59%,,,,,,,,,,
ULTRACEMCO,BAJAJFINSV,44.89%,,,,,,,,,,
WIPRO,BAJAJFINSV,38.39%,,,,,,,,,,
ADANIENT,BAJFINANCE,-43.73%,,,,,,,,,,
ADANIPORTS,BAJFINANCE,-48.61%,,,,,,,,,,
APOLLOHOSP,BAJFINANCE,-41.09%,,,,,,,,,,
ASIANPAINT,BAJFINANCE,60.94%,,,,,,,,,,
AXISBANK,BAJFINANCE,-15.52%,,,,,,,,,,
BAJAJ-AUTO,BAJFINANCE,-32.29%,,,,,,,,,,
BAJAJFINSV,BAJFINANCE,38.55%,,,,,,,,,,
BAJFINANCE,BAJFINANCE,100.00%,,,,,,,,,,
BEL,BAJFINANCE,-35.33%,,,,,,,,,,
BHARTIARTL,BAJFINANCE,-28.01%,,,,,,,,,,
BPCL,BAJFINANCE,-55.32%,,,,,,,,,,
BRITANNIA,BAJFINANCE,-9.98%,,,,,,,,,,
CIPLA,BAJFINANCE,-41.68%,,,,,,,,,,
COALINDIA,BAJFINANCE,-51.13%,,,,,,,,,,
DRREDDY,BAJFINANCE,-43.63%,,,,,,,,,,
EICHERMOT,BAJFINANCE,-30.23%,,,,,,,,,,
